날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,대파거래량,대파생산량,대파저장이월량,대파수입량,대파수입금액,대파재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,대파가격
2018-01-25,0,7.4,-9.9,-5.1,-13.9,41,11,3.2,16.1,362.12,343869,0,13128,82618,12115,1863.86,1556.44,1350.65,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1220.383468
2018-01-26,0,12.1,-10.4,-5.4,-14.2,44,7,3.2,17.2,370.59,343869,0,13128,82618,12115,1863.56,1557.14,1351.51,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1267.341623
2018-01-27,0,0.4,-7,0.4,-14.6,44,3,1.6,12.2,289.19,343869,0,13128,82618,12115,1863.86,1557.76,1352.14,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1682.508532
2018-01-29,0.1,2.9,-5.9,-1.7,-9.3,45,13,2.9,18.7,529.05,343869,0,13128,82618,12115,1863.57,1558.67,1353.35,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1548.590827
2018-01-30,0.1,2.9,-4.6,1.4,-11.3,55,15,1.9,16.3,408.66,343869,0,13128,82618,12115,1865.36,1559.63,1354.53,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1870.017374
2018-01-31,0,1.5,-1,3.9,-6,54,14,1.5,10.5,500.95,343869,0,13128,82618,12115,1866.19,1560.34,1355.49,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,2029.373396
2018-02-01,0,0,-2.1,4.4,-7.7,46,9,1.6,10.6,532.42,343869,0,13128,82618,12115,1867.26,1561.4,1356.76,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,1956.192114
2018-02-02,0,1.1,-2.4,4.4,-8.3,48,5,1.7,15,521.96,343869,0,13128,82618,12115,1867.26,1562.05,1357.48,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,2051.525599
2018-02-03,0.3,5.2,-4.5,-0.8,-8.1,50,12,3.5,20.3,608.03,343869,0,13128,82618,12115,1867.14,1562.6,1357.98,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,2087.475005
2018-02-05,0.1,11.3,-7.4,-2.6,-11.8,46,12,3,18.4,733.79,343869,0,13128,82618,12115,1867.11,1563.14,1358.81,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,2162.005209
2018-02-06,0.1,26.3,-8,-3.5,-12.3,47,9,2.8,18.9,629.77,343869,0,13128,82618,12115,1868.33,1563.9,1359.61,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,2333.55281
2018-02-07,0,35.5,-6.7,0,-13.3,47,7,1.9,13.5,579.45,343869,0,13128,82618,12115,1869.02,1564.38,1360.15,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,2330.274426
